concept,category,terms,verdict,priority,note
evaporated milk,dairy and eggs,لبن مبخر|evaporated milk,,P2,
ghee / samna,dairy and eggs,سمنة|ghee|samna,,,
ice cream,dairy and eggs,آيس كريم|ice cream,,,
kishk,dairy and eggs,كشك|kishk,,P2,
milk,dairy and eggs,لبن|milk|halib,,,
powdered milk,dairy and eggs,لبن بودرة|powdered milk,,,
skimmed milk,dairy and eggs,لبن خالي الدسم|skim milk,form,,
sour cream,dairy and eggs,كريمة حامضة|sour cream,,,
yogurt,dairy and eggs,زبادي|yogurt|zabady,,,
lemon juice,drinks that are ingredients,عصير ليمون|lemon juice,,,
malt drink,drinks that are ingredients,بيرة شعير|malt drink,,long-tail,
sugarcane juice,drinks that are ingredients,عصير قصب|sugarcane juice,,P2,
anchovy,fish and seafood,أنشوجة|anchovy,,,
bottarga,fish and seafood,بطارخ|bottarga|batarekh,,,
canned tuna,fish and seafood,تونة|canned tuna|tona,,,
catfish,fish and seafood,قرموط|catfish|karmout,,P2,
crab,fish and seafood,كابوريا|crab|kaboria,,,
cuttlefish,fish and seafood,سبيط|cuttlefish|subeit,ambiguous,P1,
eel,fish and seafood,ثعبان البحر|eel,,long-tail,
"fish fillet, unspecified",fish and seafood,فيليه سمك|fish fillet,form,,
grey mullet,fish and seafood,بوري|mullet|boori,,,
herring,fish and seafood,رنجة|herring|renga,,,
mackerel,fish and seafood,ماكريل|mackerel,,,
mussels,fish and seafood,بلح البحر|mussels,,,
nile perch,fish and seafood,بياض|nile perch|bayad,,P2,
octopus,fish and seafood,أخطبوط|octopus,,P2,
oysters,fish and seafood,محار|oysters,,P2,
salmon,fish and seafood,سلمون|salmon,,,
salted mullet / feseekh,fish and seafood,فسيخ|feseekh,,,
sardines,fish and seafood,سردين|sardines,,,
sea bass,fish and seafood,قاروص|sea bass|qaros,,,
sea bream,fish and seafood,دنيس|sea bream|denis,,,
shrimp,fish and seafood,جمبري|shrimp|gambari,,,
"shrimp, peeled frozen",fish and seafood,جمبري مقشر|peeled shrimp,form,,
smoked herring,fish and seafood,رنجة مدخنة|smoked herring,form,,
sole,fish and seafood,سمك موسى|sole|samak moosa,,,
squid / calamari,fish and seafood,كاليماري|calamari|squid,,,
tilapia,fish and seafood,بلطي|tilapia|bolti,,,
tuna in oil,fish and seafood,تونة بالزيت|tuna in oil,form,,
tuna steak,fish and seafood,شرائح تونة|tuna steak,form,,
burger patty,frozen,برجر|burger patty,,,
frozen artichoke,frozen,خرشوف مجمد|frozen artichoke,form,,
frozen berries,frozen,توت مجمد|frozen berries,,P2,
frozen fish fillet,frozen,فيليه سمك مجمد|frozen fish fillet,form,,
frozen fries,frozen,بطاطس محمرة|frozen fries,,,
frozen green peas,frozen,بسلة مجمدة|frozen peas,form,,
frozen mixed vegetables,frozen,خضار مشكل مجمد|mixed veg,,,
frozen molokhia,frozen,ملوخية مجمدة|frozen molokhia,form,,
frozen okra,frozen,بامية مجمدة|frozen okra,form,,
frozen pastry cups,frozen,تارت مجمد|pastry cups,,long-tail,
frozen pastry sheets,frozen,عجينة مجمدة|frozen pastry,form,,
frozen spinach,frozen,سبانخ مجمدة|frozen spinach,form,,
frozen sweetcorn,frozen,ذرة مجمدة|frozen corn,form,,
ice,frozen,تلج|ice|talg,,,
ice cubes,frozen,مكعبات تلج|ice cubes,form,,
apples,fruit,تفاح|apples|tofah,,,
apricot,fruit,مشمش|apricot|meshmesh,,,
avocado,fruit,أفوكادو|avocado,,,
bananas,fruit,موز|banana|moz,,,
cantaloupe,fruit,شمام|cantaloupe|shamam,,,
dates,fruit,تمر|بلح|dates|balah,,,
doum fruit,fruit,دوم|doum,,long-tail,
figs,fruit,تين|figs|teen,,P2,
frozen strawberry,fruit,فراولة مجمدة|frozen strawberry,form,,
grapes,fruit,عنب|grapes|enab,,,
guava,fruit,جوافة|guava|gawafa,,,
kiwi,fruit,كيوي|kiwi,,P2,
lemon,fruit,ليمون|lemon|lamoun,,,
lime,fruit,ليمون بنزهير|lime|banzaheer,,P2,
mandarin,fruit,يوسفي|mandarin|yousefi,,,
mango,fruit,مانجو|mango|manga,,,
"mango pulp, frozen",fruit,عصير مانجو مجمد|mango pulp,form,,
oranges,fruit,برتقال|oranges|borto2an,,,
peach,fruit,خوخ|peach|khokh,,P2,
pear,fruit,كمثرى|pear|kommetra,,P2,
persimmon,fruit,كاكا|persimmon,,long-tail,
plum,fruit,برقوق|plum|bar2ou2,,,
pomegranate,fruit,رمان|pomegranate|rumman,,,
prickly pear,fruit,تين شوكي|prickly pear,,long-tail,
sour orange,fruit,نارنج|sour orange|naring,,long-tail,
strawberry,fruit,فراولة|strawberry|farawla,,,
sugarcane,fruit,قصب|sugarcane|asab,,P2,
tangerine peel,fruit,قشر يوسفي|tangerine peel,,long-tail,
watermelon,fruit,بطيخ|watermelon|batikh,,,
barley,grains and rice,شعير|barley|sha3eer,,P2,
basmati rice,grains and rice,أرز بسمتي|basmati,,,
"belila wheat, cooked",grains and rice,بليلة|belila,dish,,
brown rice,grains and rice,أرز بني|brown rice,,,
bulgur,grains and rice,برغل|bulgur|borghol,,,
"corn kernels, dried",grains and rice,ذرة ناشفة|dried corn,form,,
cornmeal,grains and rice,دقيق ذرة|cornmeal,,,
couscous,grains and rice,كسكسي|couscous,,,
egyptian short grain rice,grains and rice,أرز مصري|egyptian rice,form,,
freekeh,grains and rice,فريك|freekeh,,,
jareesh,grains and rice,جريش|jareesh|crushed wheat,,P2,
oats,grains and rice,شوفان|oats|shofan,,,
popcorn kernels,grains and rice,فشار|popcorn,,P2,
quinoa,grains and rice,كينوا|quinoa,,,
rice flour,grains and rice,دقيق أرز|rice flour,,P2,
semolina,grains and rice,سميد|semolina|smeed,,,
sorghum,grains and rice,ذرة رفيعة|sorghum,,long-tail,
wheat berries,grains and rice,قمح|wheat berries|habb al qamh,,,
white rice,grains and rice,أرز|rice|roz,,,
basil,herbs,ريحان|basil|rehan,,,
bay leaf,herbs,ورق لورا|bay leaf|wara2 lora,,,
coriander leaf,herbs,كزبرة خضراء|coriander|kozbara,,,
dill,herbs,شبت|dill|shabat,,,
marjoram,herbs,بردقوش|marjoram|bardakoosh,,,
mint,herbs,نعناع|mint|naana,,,
parsley,herbs,بقدونس|parsley|ba2dounes,,,
rosemary,herbs,روزماري|حصالبان|rosemary,,P2,
sage,herbs,مريمية|sage|maramiya,,,
tarragon,herbs,طرخون|tarragon,,long-tail,
thyme,herbs,زعتر|thyme|zaatar,ambiguous,,
curry paste,international in egypt,معجون كاري|curry paste,,long-tail,
jarred pasta sauce,international in egypt,صوص مكرونة|pasta sauce,,P2,
mirin,international in egypt,ميرين|mirin,,long-tail,
panko breadcrumbs,international in egypt,بانكو|panko,,long-tail,
sushi rice,international in egypt,أرز سوشي|sushi rice,form,,
sweet chili sauce,international in egypt,صوص حار حلو|sweet chili,,P2,
taco shells,international in egypt,تاكو|taco shells,,long-tail,
teriyaki sauce,international in egypt,ترياكي|teriyaki,,long-tail,
tortilla wraps,international in egypt,خبز تورتيلا|tortilla wrap,,,
wasabi,international in egypt,واسابي|wasabi,,long-tail,
besara paste,legumes,بصارة|besara,dish,,
black-eyed peas,legumes,لوبيا|black eyed peas|lobia,,,
chickpeas,legumes,حمص|chickpeas|hommos,,,
dried fava beans,legumes,فول مدمس|fava beans|foul,,,
edamame,legumes,ايدامامي|edamame,,,
foul hamam,legumes,فول حمام|foul hamam,form,,
green fava beans,legumes,فول أخضر|green fava,,,
green lentils,legumes,عدس بجبة|green lentils,,,
kidney beans,legumes,فاصوليا حمراء|kidney beans,,,
lupini / termis,legumes,ترمس|lupini|termis,,,
red lentils,legumes,عدس|lentils|ads,,,
soybeans,legumes,فول الصويا|soybeans,,,
split peas,legumes,بسلة مجروشة|split peas,,,
sprouted fava / fool nabet,legumes,فول نابت|fool nabet,ambiguous,P2,
tofu,legumes,توفو|tofu,,,
white beans,legumes,فاصوليا بيضاء|white beans|fasolia,,,
white lupini brine,legumes,ترمس محلى|brined termis,form,,
almonds,nuts seeds dried fruit,لوز|almonds|loz,,,
cashews,nuts seeds dried fruit,كاجو|cashews|kagoo,,,
chia seeds,nuts seeds dried fruit,شيا|chia,,,
coconut,nuts seeds dried fruit,جوز الهند|coconut,,,
dried apricot,nuts seeds dried fruit,مشمشية|dried apricot,,P1,
dried coconut chips,nuts seeds dried fruit,رقائق جوز الهند|coconut chips,form,,
dried cranberries,nuts seeds dried fruit,توت بري مجفف|dried cranberries,,P2,
dried dates,nuts seeds dried fruit,عجوة|agwa|dried dates,,P1,
dried figs,nuts seeds dried fruit,تين مجفف|dried figs,,P2,
flaxseed,nuts seeds dried fruit,بذر كتان|flaxseed,,,
hazelnuts,nuts seeds dried fruit,بندق|hazelnuts|bondok,,,
melon seeds,nuts seeds dried fruit,لب مصري|melon seeds,,P2,
peanuts,nuts seeds dried fruit,فول سوداني|peanuts|soudani,,,
pine nuts,nuts seeds dried fruit,صنوبر|pine nuts|snobar,,,
pistachios,nuts seeds dried fruit,فستق|pistachios|fostok,,,
prunes,nuts seeds dried fruit,قراصيا|prunes|erasia,,P2,
pumpkin seeds,nuts seeds dried fruit,لب أبيض|pumpkin seeds,,,
raisins,nuts seeds dried fruit,زبيب|raisins|zebib,,,
sesame seeds,nuts seeds dried fruit,سمسم|sesame|simsim,,,
sunflower seeds,nuts seeds dried fruit,لب سوري|sunflower seeds|lib,,,
walnuts,nuts seeds dried fruit,عين جمل|walnuts|ein gamal,,,
watermelon seeds,nuts seeds dried fruit,لب بطيخ|watermelon seeds,form,,
beef liver,offal,كبدة|liver|kebda,,,
brain,offal,مخ|brain|mokh,,,
chicken feet,offal,رجل فراخ|chicken feet,,P2,
chicken hearts,offal,قلوب فراخ|chicken hearts,,P2,
duck liver,offal,كبدة بط|duck liver,,long-tail,
heart,offal,قلوب|قلب|heart,,P2,
kidney,offal,كلاوي|kidney|kalawi,,P1,
lamb liver,offal,كبدة ضاني|lamb liver,form,,
lamb testicles,offal,بيض غنم|lamb fries,,long-tail,
marrow bones,offal,عضم بالمخ|marrow bones,,P2,
sausage casing,offal,ممبار|casing|mombar,,,
sheep head meat,offal,راس خروف|head meat|ras kharouf,ambiguous,P2,
spleen,offal,طحال|spleen,,long-tail,
stuffed mombar,offal,ممبار محشي|stuffed mombar,dish,,
tongue,offal,لسان عجل|beef tongue,,P2,
tripe,offal,كرشة|tripe|kersha,,P1,
trotters,offal,كوارع|trotters|kawareh,,,
corn oil,oils and fats,زيت ذرة|corn oil,,,
ghee / samna baladi,oils and fats,سمنة بلدي|ghee|samna,,,
olive oil,oils and fats,زيت زيتون|olive oil|zeit zeitoun,,,
palm oil,oils and fats,زيت نخيل|palm oil,,long-tail,
sesame oil,oils and fats,زيت سمسم|sesame oil,,,
sunflower oil,oils and fats,زيت عباد الشمس|sunflower oil,,,
vegetable shortening,oils and fats,سمن نباتي|shortening,,P2,
bouillon powder,packaged pantry,بودرة مرقة|bouillon powder,form,,
carob drink,packaged pantry,خروب|carob|kharoub,,P1,
coffee,packaged pantry,قهوة|coffee|ahwa,,,
dried yeast sachet,packaged pantry,خميرة فورية|instant yeast,form,,
instant noodles,packaged pantry,نودلز|instant noodles,,,
instant soup powder,packaged pantry,شوربة سريعة|instant soup,,P2,
nescafe instant coffee,packaged pantry,نسكافيه|nescafe,brand,,
nori,packaged pantry,نوري|nori|seaweed,,,
qamar el din,packaged pantry,قمر الدين|qamar el din,,P1,
sobia,packaged pantry,سوبيا|sobia,,P2,
stock cube,packaged pantry,مكعب مرقة|stock cube|maggi,,,
tamarind,packaged pantry,تمر هندي|tamarind,,,
tea,packaged pantry,شاي|tea|shay,,,
tomato juice,packaged pantry,عصير طماطم|tomato juice,,P2,
vermicelli for rice,packaged pantry,شعرية للأرز|rice vermicelli,form,,
vinegar sachets,packaged pantry,أكياس خل|vinegar sachet,form,,
instant noodles,pasta and noodles,اندومي|instant noodles|indomie,,,
lasagne sheets,pasta and noodles,لازانيا|lasagne,,,
orzo / lesan asfour,pasta and noodles,لسان عصفور|orzo,,P1,
pasta / macaroni,pasta and noodles,مكرونة|pasta|macaroni,,,
penne,pasta and noodles,بيني|penne,form,,
rice noodles,pasta and noodles,نودلز أرز|rice noodles,,long-tail,
spaghetti,pasta and noodles,اسباجيتي|spaghetti,,,
vermicelli / shaareya,pasta and noodles,شعرية|vermicelli|shaareya,,,
chicken breast,poultry,صدور فراخ|chicken breast|sedr firakh,,,
chicken carcass for stock,poultry,عضم فراخ|chicken carcass|هيكل فراخ,,,
chicken drumstick,poultry,دبابيس فراخ|drumstick|dababees,,,
chicken gizzards,poultry,كوانس|gizzards|kawanes,,,
chicken liver,poultry,كبدة فراخ|chicken liver|kebda firakh,,,
chicken skin,poultry,جلد فراخ|chicken skin,,long-tail,
chicken thigh,poultry,أوراك فراخ|chicken thigh|werk,,,
chicken wings,poultry,أجنحة فراخ|chicken wings|جوانح,,,
duck,poultry,بط|duck|batt,,,
goose,poultry,وزة|إوزة|goose|wezza,,P2,
pigeon,poultry,حمام|pigeon|hamam,,,
quail,poultry,سمان|quail|semman,,,
rabbit,poultry,أرنب|rabbit|arnab,,,
turkey,poultry,ديك رومي|turkey|deek roumi,,,
whole chicken,poultry,فرخة|whole chicken|farkha,,,
bechamel,prepared and deli,بشاميل|bechamel,dish,,
"grape leaves, jarred",prepared and deli,ورق عنب معلب|jarred vine leaves,form,,
"kofta, ready",prepared and deli,كفتة جاهزة|ready kofta,dish,,
koshari,prepared and deli,كشري|koshari,dish,,
mahshi filling,prepared and deli,حشو محشي|mahshi filling,dish,,
"roast chicken, ready",prepared and deli,فرخة مشوية|rotisserie chicken,dish,,
shakshuka,prepared and deli,شكشوكة|shakshuka,dish,,
shawarma,prepared and deli,شاورما|shawarma,dish,,
basbousa,ramadan and eid,بسبوسة|basbousa,dish,,
fattah,ramadan and eid,فتة|fattah,dish,,
ghorayeba,ramadan and eid,غريبة|ghorayeba,dish,,
lamb for eid,ramadan and eid,خروف العيد|eid lamb,form,,
mixed dried fruit / yameesh,ramadan and eid,ياميش|yameesh,,P1,
sharbat,ramadan and eid,شربات|sugar syrup|sharbat,,P1,
beef bacon,red meat cuts,بيكون|bacon,,,
beef cubes,red meat cuts,لحمة مكعبات|beef cubes|lahma moka3abat,,,
beef fat / shahm,red meat cuts,شحم|beef fat|shahm,,P2,
beef neck,red meat cuts,رقبة|رقبه|beef neck,,P2,
beef ribs,red meat cuts,ضلوع|ribs|dolou3,,P2,
beef sausage,red meat cuts,سجق|sausage|sogo2,,,
beef steak,red meat cuts,بفتيك|beef steak|boftek,,,
camel meat,red meat cuts,لحم جمل|camel meat,,long-tail,
escalope,red meat cuts,اسكالوب|escalope,,P2,
ground beef,red meat cuts,لحمة مفرومة|ground beef|lahma mafrooma,,,
hawawshi,red meat cuts,حواوشي|hawawshi,dish,,
hot dog sausage,red meat cuts,هوت دوج|hot dog|فرانك,,,
kebda eskandarani,red meat cuts,كبدة اسكندراني|alexandrian liver,dish,,
kofta meat,red meat cuts,لحمة كفتة|kofta meat,,,
lamb,red meat cuts,ضاني|لحم غنم|lamb|mutton,,,
lamb chops,red meat cuts,ريش ضاني|lamb chops|rebs,,,
lamb shank,red meat cuts,موزة ضاني|lamb shank|moza,,,
luncheon meat,red meat cuts,لانشون|luncheon|lanshon,,,
minced lamb,red meat cuts,لحم ضاني مفروم|minced lamb,form,,
oxtail,red meat cuts,ذيل البقر|oxtail,,long-tail,
pastrami / basterma,red meat cuts,بسطرمة|basterma|pastrami,,,
sirloin / entrecote,red meat cuts,انتركوت|sirloin|entrecote,,P2,
sogo2 eskandarani,red meat cuts,سجق اسكندراني|sogo2 eskandarani,form,,
tenderloin,red meat cuts,فيليه لحمة|tenderloin|filet,,P2,
veal,red meat cuts,بتلو|كندوز|veal|kandooz,,,
apple cider vinegar,sauces and condiments,خل تفاح|apple vinegar,,,
balsamic vinegar,sauces and condiments,خل بلسمي|balsamic,,P2,
bbq sauce,sauces and condiments,باربكيو|bbq sauce,,,
black honey / molasses,sauces and condiments,عسل أسود|molasses|asal eswed,,,
garlic sauce,sauces and condiments,طومية|garlic sauce|toumeya,,,
heinz ketchup,sauces and condiments,هاينز كاتشب|heinz ketchup,brand,,
hot chili paste,sauces and condiments,معجون شطة|chili paste,,P2,
hot sauce,sauces and condiments,صلصة حارة|hot sauce,,,
ketchup,sauces and condiments,كاتشب|ketchup,,,
mayonnaise,sauces and condiments,مايونيز|mayonnaise|mayo,,,
mushroom soup / cream of mushroom,sauces and condiments,شوربة مشروم|cream of mushroom,,P2,
mustard,sauces and condiments,مسطردة|mustard|mostarda,,,
oyster sauce,sauces and condiments,صوص المحار|oyster sauce,,,
passata / tomato sauce,sauces and condiments,صوص طماطم|passata,,,
pesto,sauces and condiments,بيستو|pesto,,,
pomegranate molasses,sauces and condiments,دبس رمان|pomegranate molasses,,,
ranch dressing,sauces and condiments,رانش|ranch,,P2,
rice vinegar,sauces and condiments,خل الأرز|rice vinegar,,,
soy sauce,sauces and condiments,صويا صوص|soy sauce,,,
sriracha,sauces and condiments,سريراتشا|sriracha,,,
tahini,sauces and condiments,طحينة|tahini|tehina,,,
tartar sauce,sauces and condiments,تارتار|tartar sauce,,P2,
thousand island dressing,sauces and condiments,ثاوزند|thousand island,,P2,
tomato paste,sauces and condiments,صلصة طماطم|tomato paste|salsa,,,
white vinegar,sauces and condiments,خل|vinegar|khal,,,
worcestershire sauce,sauces and condiments,صوص ورشستر|worcestershire,,,
chocolate bar,snacks used as ingredients,شوكولاتة|chocolate,,,
"cornflakes, unsweetened",snacks used as ingredients,كورن فليكس سادة|plain cornflakes,form,,
digestive biscuits,snacks used as ingredients,بسكويت دايجستف|digestive,,P2,
marshmallow,snacks used as ingredients,مارشميلو|marshmallow,,long-tail,
nuts mix,snacks used as ingredients,مكسرات مشكلة|mixed nuts,,P2,
plain biscuits,snacks used as ingredients,بسكويت سادة|biscuits,,P1,
potato chips,snacks used as ingredients,شيبسي|chips,,P2,
roasted chickpeas / hommos el sham,snacks used as ingredients,حمص الشام|roasted chickpeas,,P2,
roasted watermelon seeds,snacks used as ingredients,لب بطيخ محمص|roasted seeds,form,,
sesame bar / semsemeya,snacks used as ingredients,سمسمية|semsemeya,dish,,
sesame snaps,snacks used as ingredients,سمسمية جاهزة|sesame snaps,form,,
tahini halawa with nuts,snacks used as ingredients,حلاوة بالمكسرات|halawa with nuts,form,,
tea biscuits / betefour,snacks used as ingredients,بيتيفور|betefour,dish,,
wafers,snacks used as ingredients,ويفر|wafers,,long-tail,
curry powder,spice blends,كاري|curry powder,,,
dukkah,spice blends,دقة|dukkah,,,
fish spice mix,spice blends,تتبيلة سمك|fish spice,,P2,
kofta spice,spice blends,بهارات كفتة|kofta spice,,P2,
mixed spice / baharat,spice blends,بهارات|mixed spice|baharat,,,
seven spices,spice blends,سبع بهارات|seven spices,form,,
shawarma spice,spice blends,بهارات شاورما|shawarma spice,,P1,
zaatar blend,spice blends,زعتر بالسمسم|zaatar blend,,,
allspice,spices,بهار حلو|allspice,,P2,
anise,spices,ينسون|anise|yansoon,,P1,
black pepper,spices,فلفل أسود|black pepper,,,
caraway,spices,كراوية|caraway|karawya,,P1,
cardamom,spices,حبهان|cardamom|habahan,,,
chamomile,spices,بابونج|chamomile|babounag,,P2,
chili flakes,spices,شطة|chili flakes|shatta,,,
chili powder,spices,شطة مطحونة|chili powder,,,
chili whole dried,spices,شطة كاملة|whole dried chili,form,,
cinnamon,spices,قرفة|cinnamon|erfa,,,
cloves,spices,قرنفل|cloves|orunfel,,,
cream of tartar,spices,كريم أوف تارتار|cream of tartar,,P2,
cumin,spices,كمون|cumin|kamoun,,,
dried lime,spices,لومي|dried lime|loomi,,P2,
dried rose buds,spices,ورد مجفف|dried rose,,long-tail,
fenugreek,spices,حلبة|fenugreek|helba,,P1,
ginger,spices,زنجبيل|ginger|ganzabeel,,,
"ginger, fresh",spices,زنجبيل طازج|fresh ginger,form,,
ground coriander,spices,كزبرة ناشفة|ground coriander,,,
hibiscus,spices,كركديه|hibiscus|karkade,,,
licorice root,spices,عرقسوس|licorice|erksous,,,
mahlab,spices,محلب|mahlab,,,
mastic,spices,مستكة|mastic|mastika,,,
nigella,spices,حبة البركة|nigella|habet baraka,,,
nutmeg,spices,جوزة الطيب|nutmeg,,,
paprika,spices,بابريكا|paprika,,,
